ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
2044,Bieruń,śląskie,bieruńsko-lędziński,miejska,4049,40,19639,485,76,71,5,0,0,294,36,252,6,0,0,27,0,23,4,40,177,96,31,26,0,0,1,43,0,0,0,0,0,1,0,0,0,0,0,0,1,42,0,8,27,3,3,6,9,1,0,2,7,72,1,0,6,24
2045,Bojszowy,śląskie,bieruńsko-lędziński,wiejska,3469,35,7795,225,8,8,0,0,0,90,10,74,5,1,0,4,0,4,0,18,40,22,11,7,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,13,1,0,3,0,0,0,0,2,15,0,0,0,7
2046,Chełm Śląski,śląskie,bieruńsko-lędziński,wiejska,2333,23,6245,268,33,32,1,0,0,79,10,67,2,0,0,6,2,4,0,15,37,46,12,2,0,0,3,9,0,1,0,0,1,0,0,0,0,0,0,0,2,8,0,1,4,1,0,1,0,0,0,0,2,24,0,0,1,6
2047,Imielin,śląskie,bieruńsko-lędziński,miejska,2799,28,9052,323,24,24,0,0,0,101,9,91,1,0,0,10,0,10,0,5,46,54,15,5,0,0,2,13,0,1,0,1,0,0,0,0,0,0,0,0,2,12,0,0,4,2,0,1,1,0,0,0,3,21,0,0,3,5
2048,Lędziny,śląskie,bieruńsko-lędziński,miejska,3165,32,16819,531,71,68,3,0,0,187,20,163,4,0,0,22,1,21,0,47,128,67,12,4,0,0,2,27,0,0,0,0,0,2,0,1,0,0,0,0,2,25,0,3,7,0,1,1,4,0,0,1,6,38,0,0,0,7
2050,Bytom,śląskie,Bytom,miasto na prawach powiatu,6944,69,168394,2425,814,806,7,1,0,1767,321,1414,29,3,0,318,29,205,84,620,1184,607,135,34,0,1,20,297,0,2,0,2,4,25,0,2,0,1,0,1,16,269,2,43,170,0,2,51,196,6,0,115,44,220,0,0,9,149
2052,Chorzów,śląskie,Chorzów,miasto na prawach powiatu,3324,33,109021,3280,390,383,4,3,0,910,108,771,30,1,0,270,10,184,76,356,609,250,60,23,2,0,12,253,0,0,0,0,2,38,0,7,0,0,0,0,10,215,0,28,81,0,0,11,90,1,0,21,21,179,1,0,1,132
2054,Brenna,śląskie,cieszyński,wiejska,9561,95,11230,117,27,26,0,0,1,190,33,156,1,0,0,24,0,5,19,25,115,59,12,5,1,0,2,21,0,2,0,0,1,3,0,0,0,0,0,0,1,16,0,3,22,12,1,17,4,0,0,3,28,21,0,0,3,8
2055,Chybie,śląskie,cieszyński,wiejska,3175,32,9741,307,21,20,1,0,0,120,8,111,1,0,0,11,0,4,7,18,62,46,11,3,0,1,0,12,0,1,0,1,0,4,0,1,0,0,0,0,0,7,0,1,18,2,0,11,2,1,0,2,2,10,0,0,3,8
2056,Cieszyn,śląskie,cieszyński,miejska,2861,29,34876,1219,65,65,0,0,0,413,31,373,9,0,0,99,0,36,63,81,240,108,39,9,0,1,2,62,0,0,0,0,0,1,0,0,0,0,0,0,2,61,0,3,52,5,2,54,13,4,0,3,15,76,1,0,9,21
2057,Dębowiec,śląskie,cieszyński,wiejska,4264,43,5810,136,8,8,0,0,0,53,1,50,2,0,0,4,0,4,0,6,21,24,10,0,0,0,1,18,0,0,0,0,0,1,0,0,0,0,0,0,1,17,0,3,7,2,0,2,2,0,0,0,3,15,0,0,1,4
2058,Goleszów,śląskie,cieszyński,wiejska,6587,66,13122,199,19,19,0,0,0,171,11,159,1,0,0,12,2,4,6,20,101,57,11,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,1,28,7,1,7,6,1,0,2,11,19,0,0,0,10
2059,Hażlach,śląskie,cieszyński,wiejska,4878,49,10802,221,16,16,0,0,0,156,8,145,3,0,0,6,0,4,2,22,73,55,17,5,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,19,3,0,45,7,0,0,0,7,27,1,0,0,15
2060,Istebna,śląskie,cieszyński,wiejska,8432,84,12111,144,54,50,4,0,0,157,9,145,3,0,0,16,0,2,14,25,91,69,25,1,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,28,4,14,4,0,2,0,0,4,25,0,0,2,8
2061,Skoczów,śląskie,cieszyński,miejsko-wiejska,6355,64,26897,423,38,38,0,0,0,317,39,273,5,0,0,36,1,25,10,97,164,76,13,4,1,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,2,59,0,6,41,6,2,11,6,0,0,1,4,85,0,0,12,44
2062,Strumień,śląskie,cieszyński,miejsko-wiejska,5854,59,13164,225,27,27,0,0,0,183,16,160,6,1,0,7,0,5,2,16,80,83,27,4,0,0,1,55,0,1,0,0,0,2,0,1,0,2,0,1,1,50,0,2,21,0,0,2,5,0,0,4,2,54,0,0,3,19
2063,Ustroń,śląskie,cieszyński,miejska,5903,59,16108,273,43,43,0,0,0,402,31,367,4,0,0,97,0,19,78,108,223,93,15,5,1,0,1,60,0,0,0,0,0,1,0,0,0,0,0,0,1,59,0,9,66,4,1,8,9,1,0,7,12,69,0,0,10,45
2064,Wisła,śląskie,cieszyński,miejska,11017,109,11106,101,31,31,0,0,0,168,23,133,12,0,0,64,1,10,53,27,71,71,16,10,2,2,0,30,0,1,0,1,0,3,0,0,0,0,0,0,0,26,0,1,24,7,6,6,5,3,0,0,14,31,0,0,7,12
2065,Zebrzydowice,śląskie,cieszyński,wiejska,4142,41,13284,321,37,37,0,0,0,161,11,146,4,0,0,13,0,13,0,15,90,77,14,1,0,1,1,25,0,0,0,0,0,1,0,0,0,0,0,0,1,24,0,1,20,3,0,8,4,0,0,0,9,25,0,0,5,8
2067,Częstochowa,śląskie,Częstochowa,miasto na prawach powiatu,15971,160,224376,1405,859,828,29,2,0,2693,375,2249,68,1,0,480,8,258,214,559,1653,1016,249,71,1,3,17,487,0,0,0,0,5,53,0,10,0,0,0,0,12,434,0,43,137,4,4,67,200,4,0,20,47,574,1,0,9,107
2069,Blachownia,śląskie,częstochowski,miejsko-wiejska,6661,67,13056,196,74,71,3,0,0,169,15,145,8,1,0,14,0,11,3,15,102,84,33,8,0,1,5,44,0,1,0,0,0,1,0,0,0,1,0,0,5,41,1,3,8,3,1,7,6,1,0,0,2,33,1,0,1,6
2070,Dąbrowa Zielona,śląskie,częstochowski,wiejska,10021,100,3888,39,29,27,2,0,0,40,3,36,1,0,0,1,0,1,0,3,14,35,13,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7,0,0,2,0,0,0,0,0,10,0,0,0,1
2071,Janów,śląskie,częstochowski,wiejska,14675,146,5979,41,29,28,1,0,0,110,5,99,6,0,0,5,0,5,0,16,45,57,20,1,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,13,0,0,1,0,0,0,0,2,14,0,0,0,3
2072,Kamienica Polska,śląskie,częstochowski,wiejska,4645,46,5610,121,25,22,3,0,0,112,4,101,7,0,0,7,0,6,1,7,61,44,22,2,0,1,1,27,0,0,0,0,0,2,0,0,0,0,0,0,1,25,0,3,2,0,0,1,2,0,0,1,0,35,0,0,1,2
2073,Kłomnice,śląskie,częstochowski,wiejska,14773,147,13602,92,143,137,6,0,0,182,8,173,1,0,0,8,0,8,0,38,157,91,31,8,0,0,4,11,0,0,0,0,1,0,0,0,0,0,0,0,3,11,0,0,11,1,0,2,0,0,0,1,5,25,0,0,3,5
2074,Koniecpol,śląskie,częstochowski,miejsko-wiejska,14662,147,9605,66,105,83,20,2,0,260,142,118,0,0,0,3,0,3,0,23,92,149,92,7,1,0,1,14,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,1,20,0,1,3,2,0,0,1,138,25,0,0,0,8
2075,Konopiska,śląskie,częstochowski,wiejska,7851,79,10775,137,67,59,8,0,0,167,7,156,4,0,0,5,0,5,0,7,79,108,35,4,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,9,0,0,5,1,0,0,1,4,17,0,0,1,2
2076,Kruszyna,śląskie,częstochowski,wiejska,9355,94,4869,52,45,40,5,0,0,75,2,72,1,0,0,4,0,4,0,11,46,35,24,4,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1,9,0,0,0,0,0,0,0,3,21,0,0,0,3
2077,Lelów,śląskie,częstochowski,wiejska,12369,124,4929,40,30,30,0,0,0,85,3,79,3,0,0,2,0,1,1,4,18,57,27,9,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,12,0,0,0,0,0,0,3,5,18,0,0,2,3
2078,Mstów,śląskie,częstochowski,wiejska,11957,120,10785,90,66,58,8,0,0,187,3,181,3,0,0,7,0,7,0,8,107,89,38,11,0,0,3,31,0,0,0,0,0,4,0,0,0,0,0,0,3,27,0,6,12,1,0,3,2,0,0,1,1,32,0,1,0,10
2079,Mykanów,śląskie,częstochowski,wiejska,14156,141,15034,106,99,91,8,0,0,296,20,268,8,0,0,11,1,10,0,29,138,157,55,15,1,0,1,61,0,0,0,0,0,5,0,0,0,0,0,0,1,56,0,7,25,7,1,35,3,0,0,2,4,87,0,0,0,10
2080,Olsztyn,śląskie,częstochowski,wiejska,10910,109,7785,71,21,21,0,0,0,152,10,137,5,0,0,8,0,2,6,11,70,76,14,2,0,0,1,35,0,0,0,0,0,2,0,0,0,0,0,0,1,33,0,5,5,0,0,2,4,0,0,1,3,32,0,0,0,8
2081,Poczesna,śląskie,częstochowski,wiejska,5998,60,12705,212,80,77,3,0,0,291,9,276,6,0,0,10,0,8,2,49,167,107,46,2,0,0,2,65,0,0,0,0,0,5,0,0,0,0,0,0,2,60,0,4,11,1,0,6,4,0,0,0,4,82,1,0,0,17
2082,Przyrów,śląskie,częstochowski,wiejska,8040,80,3804,47,47,37,10,0,0,52,5,45,2,0,0,0,0,0,0,1,16,63,15,3,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,9,0,0,3,0,0,0,1,2,10,0,0,4,1
2083,Rędziny,śląskie,częstochowski,wiejska,4123,41,9977,242,51,48,2,1,0,104,8,95,1,0,0,10,1,8,1,3,54,60,30,7,0,1,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,1,1,1,0,2,2,0,0,0,2,30,0,1,0,4
2084,Starcza,śląskie,częstochowski,wiejska,2009,20,2824,141,15,13,2,0,0,52,3,47,2,0,0,1,0,1,0,3,20,35,8,1,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1
2086,Dąbrowa Górnicza,śląskie,Dąbrowa Górnicza,miasto na prawach powiatu,18873,189,121121,642,455,421,30,3,1,894,108,775,11,0,0,205,10,130,65,260,672,315,84,13,3,2,7,228,0,0,0,0,1,18,0,1,0,1,0,1,6,209,0,19,105,1,1,21,22,3,0,10,14,298,3,0,11,100
2088,Gliwice,śląskie,Gliwice,miasto na prawach powiatu,13388,134,181309,1354,554,550,4,0,0,1589,265,1296,28,0,0,514,14,251,249,561,1025,388,116,41,9,3,7,299,0,1,0,1,0,19,0,1,0,2,0,2,7,277,1,32,159,1,2,52,83,5,0,19,26,328,1,0,10,171
2090,Gierałtowice,śląskie,gliwicki,wiejska,3806,38,12009,316,34,33,1,0,0,137,9,126,2,0,0,8,0,8,0,14,80,65,9,3,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,2,9,2,0,3,2,0,0,2,0,21,0,0,0,6
2091,Knurów,śląskie,gliwicki,miejska,3395,34,38594,1137,96,96,0,0,0,292,32,254,6,0,0,45,1,33,11,117,186,63,19,3,0,0,3,56,0,0,0,0,1,1,0,0,0,1,0,1,2,54,0,5,17,1,0,5,20,0,0,2,7,57,0,0,2,33
2092,Pilchowice,śląskie,gliwicki,wiejska,6983,70,11838,170,41,38,3,0,0,123,6,114,3,0,0,13,1,10,2,12,78,62,9,3,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2,19,0,0,3,4,0,0,0,1,21,0,0,2,11
2093,Pyskowice,śląskie,gliwicki,miejska,3089,31,18417,596,79,76,3,0,0,179,18,161,0,0,0,15,4,7,4,81,117,51,9,0,0,0,1,35,0,0,0,0,0,3,0,0,0,0,0,0,1,32,0,4,26,0,0,2,10,1,0,7,3,28,0,0,2,19
2094,Rudziniec,śląskie,gliwicki,wiejska,15914,159,10655,67,48,44,3,1,0,224,10,208,6,0,0,16,0,16,0,14,93,122,34,8,1,0,1,33,0,0,0,0,0,1,0,0,0,0,0,0,1,32,0,3,24,0,0,6,1,0,0,0,1,55,0,0,7,22
2095,Sośnicowice,śląskie,gliwicki,miejsko-wiejska,11650,116,8821,76,38,35,3,0,0,127,9,114,4,0,0,22,0,16,6,7,65,73,15,5,0,0,4,27,0,0,0,0,0,1,0,0,0,0,0,0,4,26,0,4,30,0,0,0,0,0,0,0,2,39,0,0,2,17
2096,Toszek,śląskie,gliwicki,miejsko-wiejska,9982,100,9426,94,42,40,2,0,0,117,8,106,3,0,0,11,0,3,8,13,81,46,14,4,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,13,0,0,8,6,2,0,1,1,20,0,0,0,10
2097,Wielowieś,śląskie,gliwicki,wiejska,11618,116,5887,51,27,27,0,0,0,61,2,56,3,0,0,5,1,3,1,5,36,38,7,2,0,0,0,16,0,0,0,0,0,1,0,1,0,0,0,0,0,15,0,2,7,0,0,0,1,0,0,1,1,18,0,0,0,7
2099,Jastrzębie-Zdrój,śląskie,Jastrzębie-Zdrój,miasto na prawach powiatu,8533,85,89590,1050,260,251,6,2,1,983,168,796,19,0,0,136,5,84,47,218,555,325,112,33,0,0,5,153,0,1,0,1,0,12,0,0,0,0,0,0,5,140,0,17,124,16,1,35,90,1,0,8,25,156,0,0,0,80
2101,Jaworzno,śląskie,Jaworzno,miasto na prawach powiatu,15259,153,92090,604,300,291,8,1,0,728,71,648,8,1,0,124,4,80,40,168,476,287,65,25,5,2,10,163,0,1,0,1,4,15,0,0,0,1,0,1,6,146,0,16,74,0,0,21,12,0,0,8,12,152,0,0,3,67
2102,Katowice,śląskie,Katowice,miasto na prawach powiatu,16464,165,296262,1799,1043,1035,4,4,0,3029,444,2543,42,0,0,662,17,312,333,730,1864,1157,243,67,8,3,12,535,0,0,0,0,4,36,1,4,0,4,0,3,8,495,0,43,343,3,4,25,196,2,0,35,79,856,9,1,18,163
2105,Kłobuck,śląskie,kłobucki,miejsko-wiejska,13001,130,20498,158,107,98,9,0,0,235,17,216,2,0,0,18,4,13,1,73,149,98,19,2,0,1,1,47,0,0,0,0,0,2,0,0,0,2,0,0,1,43,0,2,14,0,0,6,3,1,0,0,9,46,0,0,2,24
2106,Krzepice,śląskie,kłobucki,miejsko-wiejska,7894,79,9212,117,92,85,7,0,0,121,9,108,4,0,0,8,0,7,1,31,103,58,19,2,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,3,10,0,0,1,0,0,0,1,4,22,0,0,1,14
2107,Lipie,śląskie,kłobucki,wiejska,9905,99,6302,64,46,45,1,0,0,73,0,72,1,0,0,3,1,2,0,10,62,42,5,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,12,0,0,2,1,0,0,0,0,8,0,0,0,8
2108,Miedźno,śląskie,kłobucki,wiejska,11277,113,7557,67,39,37,2,0,0,129,35,93,1,0,0,2,0,2,0,27,96,36,9,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,16,0,0,0,0,0,0,3,40,12,1,0,0,8
2109,Opatów,śląskie,kłobucki,wiejska,7348,73,6809,93,47,46,1,0,0,73,3,70,0,0,0,4,0,4,0,15,53,42,10,0,0,0,1,17,0,0,0,0,0,3,0,0,0,0,0,0,1,14,0,2,13,0,0,2,0,1,0,1,4,15,0,0,0,11
2110,Panki,śląskie,kłobucki,wiejska,5494,55,5099,93,67,66,1,0,0,37,1,35,0,1,0,6,0,3,3,5,58,36,4,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,2,0,0,0,1,1,0,0,0,11,0,0,1,3
2111,Popów,śląskie,kłobucki,wiejska,10229,102,5925,58,70,66,4,0,0,71,3,68,0,0,0,2,0,2,0,10,51,57,19,3,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,5,0,0,14,0,0,0,1,1,10,0,0,0,8
2112,Przystajń,śląskie,kłobucki,wiejska,8883,89,5906,66,27,26,1,0,0,58,0,58,0,0,0,2,1,1,0,6,40,32,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,9,0,0,1,0,0,0,0,2,3,0,0,0,1
2113,Wręczyca Wielka,śląskie,kłobucki,wiejska,14828,149,17786,120,130,120,10,0,0,243,6,233,4,0,0,10,0,9,1,69,196,78,23,6,1,0,5,36,0,0,0,0,0,2,0,0,0,0,0,0,5,34,0,3,12,0,0,3,3,0,0,1,6,36,0,0,0,23
2115,Boronów,śląskie,lubliniecki,wiejska,5728,57,3395,59,10,10,0,0,0,41,3,38,0,0,0,3,0,1,2,5,16,23,5,2,0,0,1,11,0,0,0,0,1,5,0,2,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,4
2116,Ciasna,śląskie,lubliniecki,wiejska,13395,134,7509,56,18,18,0,0,0,79,5,74,0,0,0,14,0,3,11,14,36,37,8,2,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,7,0,0,0,0,0,0,0,1,17,1,0,2,14
2117,Herby,śląskie,lubliniecki,wiejska,8591,86,6862,80,16,14,2,0,0,78,6,72,0,0,0,3,0,2,1,8,33,42,9,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,6,1,1,1,0,0,0,0,1,18,0,0,0,9
2118,Kochanowice,śląskie,lubliniecki,wiejska,8002,80,6924,87,24,24,0,0,0,74,3,70,1,0,0,11,0,4,7,15,48,27,7,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,7,1,0,1,1,0,0,0,0,7,0,0,0,4
2119,Koszęcin,śląskie,lubliniecki,wiejska,12918,129,11878,92,36,32,3,1,0,153,12,141,0,0,0,4,0,2,2,21,77,70,14,7,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,6,11,0,1,3,0,0,0,1,0,24,0,0,0,12
2120,Lubliniec,śląskie,lubliniecki,miejska,8936,89,23899,267,61,61,0,0,0,240,19,220,1,0,0,64,0,26,38,67,142,78,12,1,1,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,41,0,2,11,1,1,4,7,0,0,1,1,39,3,0,2,21
2121,Pawonków,śląskie,lubliniecki,wiejska,11893,119,6646,56,22,19,2,0,1,66,4,59,3,0,0,2,0,2,0,3,41,34,5,4,0,1,2,20,0,0,0,0,1,0,0,0,0,0,0,0,1,20,0,2,8,0,0,2,1,0,0,0,1,15,0,0,0,7
2122,Woźniki,śląskie,lubliniecki,miejsko-wiejska,12762,128,9655,76,21,21,0,0,0,155,8,145,2,0,0,1,0,0,1,16,72,57,30,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,1,7,2,0,2,0,0,0,0,2,25,0,0,0,11
2124,Łaziska Górne,śląskie,mikołowski,miejska,2007,20,22390,1116,55,53,2,0,0,207,10,195,2,0,0,25,2,22,1,42,131,70,9,10,0,0,1,23,0,0,0,0,0,1,0,0,0,0,0,0,1,22,0,4,19,0,0,15,8,0,0,1,6,30,1,0,0,9
2125,Mikołów,śląskie,mikołowski,miejska,7921,79,40423,510,93,90,1,2,0,499,34,459,6,0,0,67,3,52,12,127,304,130,17,12,2,0,2,97,0,0,0,0,0,5,0,0,0,0,0,0,2,92,0,12,43,0,1,7,18,0,0,0,15,88,2,0,4,36
2126,Ornontowice,śląskie,mikołowski,wiejska,1545,15,6016,389,14,13,1,0,0,45,2,43,0,0,0,4,0,4,0,3,23,27,4,2,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,1,0,0,0,0,1,8,0,0,0,1
2127,Orzesze,śląskie,mikołowski,miejska,8375,84,20773,248,36,35,1,0,0,244,16,227,1,0,0,22,1,15,6,26,132,100,21,1,0,0,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,4,30,0,1,1,3,0,0,1,6,43,0,0,0,7
2128,Wyry,śląskie,mikołowski,wiejska,3462,35,8087,234,16,14,2,0,0,78,5,72,1,0,0,6,0,6,0,10,43,29,10,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,2,0,13,0,0,1,2
2130,Mysłowice,śląskie,Mysłowice,miasto na prawach powiatu,6562,66,74647,1138,275,272,3,0,0,758,97,656,5,0,0,151,1,98,52,209,432,301,64,21,4,1,5,133,0,2,0,2,1,9,0,2,0,0,0,0,4,122,0,11,132,1,0,34,31,2,0,7,12,152,0,0,2,52
2132,Koziegłowy,śląskie,myszkowski,miejsko-wiejska,15964,160,14369,90,142,127,14,1,0,325,32,285,8,0,0,14,0,8,6,23,127,242,59,15,0,0,3,95,0,0,0,0,0,1,0,0,0,0,0,0,3,94,0,10,17,0,0,2,2,0,0,3,17,118,0,0,2,38
2133,Myszków,śląskie,myszkowski,miejska,7359,74,31974,434,135,131,3,1,0,444,56,385,3,0,0,35,1,22,12,60,214,244,51,8,2,0,2,91,0,0,0,0,1,9,0,3,0,1,0,1,1,81,0,2,21,2,1,28,23,0,0,3,28,79,0,1,7,40
2134,Niegowa,śląskie,myszkowski,wiejska,8796,87,5685,65,36,31,3,2,0,87,8,79,0,0,0,1,0,1,0,8,58,37,11,9,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,8,1,1,1,0,0,0,2,4,10,0,0,0,2
2135,Poraj,śląskie,myszkowski,wiejska,5706,57,10925,191,49,47,2,0,0,203,23,177,3,0,0,8,0,4,4,9,97,112,27,7,0,0,3,15,0,0,0,0,1,0,0,0,0,0,0,0,2,15,1,1,24,0,0,2,1,0,0,4,4,18,1,0,7,8
2136,Żarki,śląskie,myszkowski,miejsko-wiejska,10100,101,8443,84,36,31,5,0,0,171,21,145,5,0,0,4,0,2,2,5,79,81,31,11,0,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,1,31,0,5,10,1,0,2,4,0,0,0,17,31,0,0,0,9
2138,Piekary Śląskie,śląskie,Piekary Śląskie,miasto na prawach powiatu,3998,40,55652,1392,357,352,4,1,0,631,78,546,7,0,0,82,3,69,10,255,445,221,45,16,4,2,3,81,0,1,0,0,2,8,0,0,0,0,0,0,1,72,0,12,69,0,6,17,42,0,0,19,25,99,0,0,0,28
2140,Goczałkowice-Zdrój,śląskie,pszczyński,wiejska,4739,47,6736,142,6,6,0,0,0,61,6,53,2,0,0,10,0,8,2,10,25,23,8,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,4,5,0,0,5,3,1,0,0,2,31,0,0,4,18
2141,Kobiór,śląskie,pszczyński,wiejska,4819,48,4898,102,14,13,1,0,0,68,5,52,11,0,0,4,0,2,2,3,26,42,10,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,2,8,0,1,0,2,1,0,0,0,33,0,0,0,6
2142,Miedźna,śląskie,pszczyński,wiejska,5009,50,16347,326,48,43,5,0,0,77,10,65,2,0,0,10,0,3,7,8,39,61,14,3,0,0,2,28,0,0,0,0,0,4,0,1,0,0,0,0,2,24,0,0,8,1,0,20,4,0,0,0,1,18,0,0,1,14
2143,Pawłowice,śląskie,pszczyński,wiejska,7568,76,18143,240,40,40,0,0,0,122,11,102,9,0,0,12,0,9,3,8,51,72,29,1,1,0,3,61,0,0,0,0,0,2,0,0,0,0,0,0,3,59,0,5,15,0,0,1,1,1,0,2,1,66,0,0,1,21
2144,Pszczyna,śląskie,pszczyński,miejsko-wiejska,17473,175,52345,300,109,107,2,0,0,445,61,373,11,0,0,81,1,28,52,89,235,179,40,11,0,0,5,128,0,0,0,0,1,4,0,0,0,0,0,0,4,124,1,10,65,7,1,99,22,3,0,6,0,133,2,0,6,58
2145,Suszec,śląskie,pszczyński,wiejska,7508,75,12157,162,36,34,2,0,0,91,8,82,1,0,0,2,0,2,0,4,44,57,21,1,0,0,0,42,0,1,0,0,0,24,0,4,0,0,0,0,0,17,0,1,14,2,0,18,1,0,0,0,2,21,1,0,0,7
2147,Kornowac,śląskie,raciborski,wiejska,2620,26,5156,197,14,13,1,0,0,54,4,46,4,0,0,6,1,5,0,9,28,21,7,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,3,4,0,0,3,1,0,0,1,1,14,0,0,0,6
2148,Krzanowice,śląskie,raciborski,miejsko-wiejska,4720,47,5753,122,9,8,0,1,0,28,6,22,0,0,0,1,0,1,0,4,10,18,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,3
2149,Krzyżanowice,śląskie,raciborski,wiejska,6970,70,11362,163,30,27,3,0,0,105,4,96,5,0,0,4,0,3,1,12,58,53,3,9,0,0,1,16,0,1,0,0,1,0,0,0,0,0,0,0,0,15,0,3,7,0,0,1,4,0,0,0,0,19,4,0,1,4
2150,Kuźnia Raciborska,śląskie,raciborski,miejsko-wiejska,12662,127,11894,94,57,54,2,1,0,110,9,93,6,2,0,7,0,7,0,18,69,49,21,10,0,0,0,27,0,1,0,1,0,3,0,0,0,0,0,0,0,23,0,5,12,1,0,6,3,0,0,0,0,20,0,0,2,7
2151,Nędza,śląskie,raciborski,wiejska,5722,57,7440,130,26,26,0,0,0,56,6,49,1,0,0,4,0,4,0,11,38,25,7,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,11,0,0,0,0,0,0,1,3,7,0,0,0,6
2152,Pietrowice Wielkie,śląskie,raciborski,wiejska,6793,68,6935,102,14,13,1,0,0,76,7,65,4,0,0,1,0,1,0,12,34,23,14,5,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,11,0,0,2,3,0,0,0,2,26,0,0,1,17
