"KG PSP Warszawa
ul. Podchor¹¿ych 38
00-463 Warszawa
";;;;;;;;;;;;;;;;;Warszawa, dn. 23-01-2019r.
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"1_2. Zdarzenia wg rodzaju i wielkoœci w rozbiciu na województwo, powiat i gminê
";;;;;;;;;;;;;;;;;
;;Po¿ar (P);;;;;Miejscowe zagro¿enie (MZ);;;;;;Alarm fa³szywy (AF);;;;OGÓ£EM
LP.;Podzia³ administracyjny;RAZEM;Ma³y (P/M);Œredni (P/Œ);Du¿y (P/D);Bardzo du¿y (P/BD);RAZEM;Ma³e (MZ/M);Lokalne (MZ/L);Œrednie (MZ/Œ);Du¿e (MZ/D);Gigantyczne lub klêska ¿ywio³owa (MZ/K);RAZEM;Z³oœliwy (A/Z);W dobrej wierze (A/DW);Z instalacji wykrywania (A/IW); 
176;Siechnice;109;107;2;0;0;256;35;208;13;0;0;33;1;20;12;398
177;Sobótka;122;118;4;0;0;171;28;138;5;0;0;19;1;18;0;312
178;¯órawina;79;78;1;0;0;164;25;131;8;0;0;14;0;13;1;257
179;z¹bkowicki;482;461;16;5;0;706;162;517;27;0;0;113;6;92;15;1301
180;Bardo;34;34;0;0;0;72;16;54;2;0;0;8;2;5;1;114
181;Ciep³owody;21;20;1;0;0;24;4;19;1;0;0;2;0;2;0;47
182;Kamieniec Z¹bkowicki;78;74;2;2;0;96;14;77;5;0;0;17;3;13;1;191
183;Stoszowice;52;49;2;1;0;32;4;25;3;0;0;14;0;12;2;98
184;Z¹bkowice Œl¹skie;162;158;4;0;0;254;70;177;7;0;0;36;0;34;2;452
185;Ziêbice;108;100;6;2;0;182;45;136;1;0;0;30;1;20;9;320
186;Z³oty Stok;27;26;1;0;0;46;9;29;8;0;0;6;0;6;0;79
187;zgorzelecki;1426;1362;61;3;0;903;192;697;14;0;0;133;3;115;15;2462
188;Bogatynia;654;623;29;2;0;231;56;171;4;0;0;61;3;53;5;946
189;Pieñsk;178;175;3;0;0;79;19;58;2;0;0;13;0;11;2;270
190;Sulików;177;162;14;1;0;49;8;41;0;0;0;4;0;4;0;230
191;Wêgliniec;87;79;8;0;0;115;20;92;3;0;0;5;0;5;0;207
192;Zawidów;49;48;1;0;0;29;5;24;0;0;0;1;0;1;0;79
193;Zgorzelec (gmina wiejska);121;116;5;0;0;138;24;111;3;0;0;12;0;9;3;271
194;Zgorzelec (gmina miejska);160;159;1;0;0;262;60;200;2;0;0;37;0;32;5;459
195;z³otoryjski;287;274;11;1;1;390;73;295;21;1;0;43;2;37;4;720
196;Pielgrzymka;27;24;1;1;1;39;10;28;1;0;0;0;0;0;0;66
197;Œwierzawa;67;64;3;0;0;79;11;64;4;0;0;5;1;4;0;151
198;Wojcieszów;31;31;0;0;0;28;1;25;2;0;0;1;0;1;0;60
199;Zagrodno;34;33;1;0;0;58;6;44;8;0;0;5;0;4;1;97
200;Z³otoryja (gmina wiejska);56;51;5;0;0;76;12;59;4;1;0;11;1;10;0;143
201;Z³otoryja (gmina miejska);72;71;1;0;0;110;33;75;2;0;0;21;0;18;3;203
202;KUJAWSKO-POMORSKIE;7514;7159;312;36;7;19261;2139;16953;163;6;0;1649;85;990;574;28424
203;aleksandrowski;198;186;11;1;0;372;43;320;8;1;0;43;1;38;4;613
204;Aleksandrów Kujawski (gmina wiejska);59;54;4;1;0;82;9;73;0;0;0;9;0;9;0;150
205;Aleksandrów Kujawski (gmina miejska);46;46;0;0;0;70;9;61;0;0;0;10;1;8;1;126
206;B¹dkowo;7;7;0;0;0;11;2;8;1;0;0;0;0;0;0;18
207;Ciechocinek;39;39;0;0;0;91;15;75;1;0;0;16;0;14;2;146
208;Koneck;7;5;2;0;0;35;1;34;0;0;0;3;0;3;0;45
209;Nieszawa;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;10
210;Raci¹¿ek;14;12;2;0;0;31;3;25;3;0;0;2;0;1;1;47
211;Waganiec;18;15;3;0;0;29;0;26;2;1;0;2;0;2;0;49
212;Zakrzewo;3;3;0;0;0;18;3;14;1;0;0;1;0;1;0;22
213;brodnicki;247;237;9;1;0;734;69;661;4;0;0;41;3;29;9;1022
214;Bartniczka;7;7;0;0;0;20;0;20;0;0;0;0;0;0;0;27
215;Bobrowo;18;15;3;0;0;63;3;60;0;0;0;3;0;3;0;84
216;Brodnica (gmina wiejska);32;32;0;0;0;87;8;78;1;0;0;2;0;2;0;121
217;Brodnica (gmina miejska);88;87;1;0;0;244;40;203;1;0;0;25;0;17;8;357
218;Brzozie;12;9;2;1;0;46;1;45;0;0;0;0;0;0;0;58
219;Górzno;4;4;0;0;0;28;2;26;0;0;0;0;0;0;0;32
220;Jab³onowo Pomorskie;40;38;2;0;0;85;8;77;0;0;0;4;3;1;0;129
221;Osiek;12;11;1;0;0;61;5;56;0;0;0;0;0;0;0;73
222;Œwiedziebnia;15;15;0;0;0;46;1;44;1;0;0;1;0;1;0;62
223;Zbiczno;19;19;0;0;0;54;1;52;1;0;0;6;0;5;1;79
224;bydgoski;473;448;23;2;0;1107;210;878;19;0;0;67;1;49;17;1647
225;Bia³e B³ota;74;72;1;1;0;151;27;120;4;0;0;14;1;9;4;239
226;D¹browa Che³miñska;29;29;0;0;0;120;10;109;1;0;0;16;0;5;11;165
227;Dobrcz;49;44;4;1;0;128;37;91;0;0;0;6;0;6;0;183
228;Koronowo;107;98;9;0;0;235;40;193;2;0;0;11;0;11;0;353
229;Nowa Wieœ Wielka;52;48;4;0;0;93;12;77;4;0;0;4;0;4;0;149
230;Osielsko;42;39;3;0;0;70;13;55;2;0;0;6;0;5;1;118
231;Sicienko;51;49;2;0;0;146;21;121;4;0;0;6;0;6;0;203
232;Solec Kujawski;69;69;0;0;0;164;50;112;2;0;0;4;0;3;1;237
233;Bydgoszcz;974;966;8;0;0;1583;329;1232;21;1;0;406;8;185;213;2963
234;Bydgoszcz;974;966;8;0;0;1583;329;1232;21;1;0;406;8;185;213;2963
235;che³miñski;184;178;5;1;0;889;49;833;7;0;0;25;0;21;4;1098
236;Che³mno (gmina miejska);63;62;1;0;0;224;18;204;2;0;0;9;0;6;3;296
237;Che³mno (gmina wiejska);24;23;1;0;0;106;3;103;0;0;0;4;0;3;1;134
238;Kijewo Królewskie;9;8;1;0;0;131;8;123;0;0;0;3;0;3;0;143
239;Lisewo;22;21;1;0;0;107;2;103;2;0;0;3;0;3;0;132
240;Papowo Biskupie;24;23;1;0;0;86;4;81;1;0;0;4;0;4;0;114
241;Stolno;17;17;0;0;0;117;5;110;2;0;0;1;0;1;0;135
242;Unis³aw;25;24;0;1;0;118;9;109;0;0;0;1;0;1;0;144
243;golubsko-dobrzyñski;151;136;11;2;2;730;22;707;1;0;0;27;0;16;11;908
244;Ciechocin;12;10;2;0;0;64;1;63;0;0;0;1;0;1;0;77
245;Golub-Dobrzyñ (gmina wiejska);24;20;2;1;1;163;4;158;1;0;0;4;0;4;0;191
246;Golub-Dobrzyñ (gmina miejska);42;41;1;0;0;184;11;173;0;0;0;14;0;7;7;240
247;Kowalewo Pomorskie;52;46;4;1;1;187;4;183;0;0;0;3;0;3;0;242
248;Radomin;10;8;2;0;0;66;1;65;0;0;0;0;0;0;0;76
249;Zbójno;11;11;0;0;0;66;1;65;0;0;0;5;0;1;4;82
250;Grudzi¹dz;353;349;4;0;0;738;170;560;6;2;0;113;9;56;48;1204
251;Grudzi¹dz;353;349;4;0;0;738;170;560;6;2;0;113;9;56;48;1204
252;grudzi¹dzki;177;164;12;1;0;822;64;748;10;0;0;15;5;10;0;1014
253;Grudzi¹dz;50;44;6;0;0;184;18;165;1;0;0;3;1;2;0;237
254;Gruta;32;30;2;0;0;116;11;103;2;0;0;2;0;2;0;150
255;£asin;28;27;0;1;0;139;11;127;1;0;0;1;0;1;0;168
256;Radzyñ Che³miñski;23;22;1;0;0;131;9;118;4;0;0;6;4;2;0;160
257;RogóŸno;27;25;2;0;0;153;8;143;2;0;0;2;0;2;0;182
258;Œwiecie nad Os¹;17;16;1;0;0;99;7;92;0;0;0;1;0;1;0;117
259;inowroc³awski;564;526;36;1;1;980;102;867;11;0;0;84;4;61;19;1628
260;D¹browa Biskupia;16;11;5;0;0;21;2;18;1;0;0;1;0;1;0;38
261;Gniewkowo;41;40;0;1;0;112;2;109;1;0;0;8;0;6;2;161
262;Inowroc³aw (gmina miejska);245;241;4;0;0;413;57;352;4;0;0;50;3;32;15;708
263;Inowroc³aw (gmina wiejska);49;44;4;0;1;96;8;88;0;0;0;5;0;4;1;150
264;Janikowo;46;44;2;0;0;53;4;49;0;0;0;6;0;6;0;105
265;Kruszwica;80;66;14;0;0;158;16;139;3;0;0;4;0;3;1;242
266;Pakoœæ;35;31;4;0;0;73;5;67;1;0;0;4;0;4;0;112
267;Rojewo;16;16;0;0;0;18;3;15;0;0;0;4;0;4;0;38
268;Z³otniki Kujawskie;36;33;3;0;0;36;5;30;1;0;0;2;1;1;0;74
269;lipnowski;295;278;14;3;0;891;32;855;4;0;0;13;2;10;1;1199
270;Bobrowniki;16;16;0;0;0;40;2;38;0;0;0;0;0;0;0;56
271;Chrostkowo;9;9;0;0;0;60;3;57;0;0;0;1;0;1;0;70
272;Dobrzyñ nad Wis³¹;37;33;3;1;0;117;6;109;2;0;0;2;1;1;0;156
